Tm,City,Coordinates,Time Zone,Latitude,Longitude,Elevation,AKA,Bref
ATL,"Atlanta, GA, USA","33.7489954,-84.3879824",1,33.7489954,-84.3879824,1050,ATL,Atlanta Hawks
BOS,"Boston, MA, USA","42.3600825,-71.0588801",1,42.3600825,-71.0588801,141,BOS,Boston Celtics
BRK,"Brooklyn, NY, USA","40.6781784,-73.9441579",1,40.6781784,-73.9441579,33,BRK,Brooklyn Nets
CHA,"Charlotte, NC, USA","35.2270869,-80.8431267",1,35.2270869,-80.8431267,751,CHO,#N/A
CHH,"Charlotte, NC, USA","35.2270869,-80.8431267",1,35.2270869,-80.8431267,751,NOP,#N/A
CHI,"Chicago, IL, USA","41.8781136,-87.6297982",2,41.8781136,-87.6297982,594,CHI,Chicago Bulls
CHO,"Charlotte, NC, USA","35.2270869,-80.8431267",1,35.2270869,-80.8431267,751,CHO,Charlotte Hornets
CLE,"Cleveland, OH, USA","41.4993200,-81.6943605",1,41.49932,-81.6943605,652,CLE,Cleveland Cavaliers
DAL,"Dallas, TX, USA","32.7766642,-96.7969879",2,32.7766642,-96.7969879,430,DAL,Dallas Mavericks
DEN,"Denver, CO, USA","39.7392358,-104.9902510",3,39.7392358,-104.990251,5300,DEN,Denver Nuggets
DET,"Detroit, MI, USA","42.3314270,-83.0457538",1,42.331427,-83.0457538,600,DET,Detroit Pistons
GSW,"San Francisco, CA, USA","37.7749295,-122.4194155",4,37.7749295,-122.4194155,52,GSW,Golden State Warriors
HOU,"Houston, TX, USA","29.7604267,-95.3698028",2,29.7604267,-95.3698028,80,HOU,Houston Rockets
IND,"Indianapolis, IN, USA","39.7684030,-86.1580680",1,39.768403,-86.158068,715,IND,Indiana Pacers
KCK,"Kansas City, MO, USA","39.0997,-94.5786",2,39.0997,-94.5786,910,SAC,#N/A
LAC,"Los Angeles, CA, USA","34.0522342,-118.2436849",4,34.0522342,-118.2436849,233,LAC,Los Angeles Clippers
LAL,"Los Angeles, CA, USA","34.0522342,-118.2436849",4,34.0522342,-118.2436849,233,LAL,Los Angeles Lakers
MEM,"Memphis, TN, USA","35.1495343,-90.0489801",2,35.1495343,-90.0489801,337,MEM,Memphis Grizzlies
MIA,"Miami, FL, USA","25.7616798,-80.1917902",1,25.7616798,-80.1917902,7,MIA,Miami Heat
MIL,"Milwaukee, WI, USA","43.0389025,-87.9064736",2,43.0389025,-87.9064736,617,MIL,Milwaukee Bucks
MIN,"Minneapolis, MN, USA","44.9777530,-93.2650108",2,44.977753,-93.2650108,830,MIN,Minnesota Timberwolves
NJN,"Newark, NJ, USA","40.7356570,-74.1723667",1,40.735657,-74.1723667,13,BRK,#N/A
NOH,"New Orleans, LA, USA","29.9510658,-90.0715323",2,29.9510658,-90.0715323,9,NOP,#N/A
NOK,"Oklahoma City, OK, USA","35.4675602,-97.5164276",2,35.4675602,-97.5164276,1201,NOP,#N/A
NOP,"New Orleans, LA, USA","29.9510658,-90.0715323",2,29.9510658,-90.0715323,9,NOP,New Orleans Pelicans
NYK,"New York, NY, USA","40.7127753,-74.0059728",1,40.7127753,-74.0059728,33,NYK,New York Knicks
OKC,"Oklahoma City, OK, USA","35.4675602,-97.5164276",2,35.4675602,-97.5164276,1201,OKC,Oklahoma City Thunder
ORL,"Orlando, FL, USA","28.5383355,-81.3792365",1,28.5383355,-81.3792365,82,ORL,Orlando Magic
PHI,"Philadelphia, PA, USA","39.9525839,-75.1652215",1,39.9525839,-75.1652215,39,PHI,Philadelphia 76ers
PHO,"Phoenix, AZ, USA","33.4483771,-112.0740373",3,33.4483771,-112.0740373,1086,PHO,Phoenix Suns
POR,"Portland, OR, USA","45.5230622,-122.6764815",4,45.5230622,-122.6764815,50,POR,Portland Trail Blazers
SAC,"Sacramento, CA, USA","38.5815719,-121.4943996",4,38.5815719,-121.4943996,30,SAC,Sacramento Kings
SAS,"San Antonio, TX, USA","29.4241219,-98.4936282",2,29.4241219,-98.4936282,753,SAS,San Antonio Spurs
SDC,"San Diego, CA, USA","32.7157,-117.1611",4,32.7157,-117.1611,62,LAC,#N/A
SEA,"Seattle, WA, USA","47.6062095,-122.3320708",4,47.6062095,-122.3320708,518,OKC,#N/A
TOR,"Toronto, ON, Canada","43.6532260,-79.3831843",1,43.653226,-79.3831843,249,TOR,Toronto Raptors
UTA,"Salt Lake City, UT, USA","40.7607793,-111.8910474",3,40.7607793,-111.8910474,4226,UTA,Utah Jazz
VAN,"Vancouver, BC, Canada","49.2827291,-123.1207375",4,49.2827291,-123.1207375,269,MEM,#N/A
WAS,"Washington, DC, USA","38.9071923,-77.0368707",1,38.9071923,-77.0368707,410,WAS,Washington Wizards
WSB,"Washington, DC, USA","38.9071923,-77.0368707",1,38.9071923,-77.0368707,410,WAS,#N/A
